Date,Close,대비,등락률,Open,High,Low,Volume,거래대금,시가총액,상장주식수,RSI,RSI_9,OBV,MA5,MA20,MA60,OBV_20
2024-08-29,1765,-56,-3.04,1804,1821,1695,186469,379703417,20427606630,9868409,52.12053571428571,52.36111111111111,21460853,1678.4,1786.55,2357.35,21165182.8
2024-08-30,1787,22,1.21,1761,1829,1701,73972,153748480,20674316855,9868409,51.90582959641256,62.93375394321767,21534825,1743.0,1749.25,2347.116666666667,21150956.8
2024-09-02,1783,-4,-0.24,1770,1791,1703,67353,137748821,20624974810,9868409,49.53379953379954,61.69871794871794,21467472,1773.2,1716.85,2340.0833333333335,21148157.75
2024-09-03,1791,8,0.48,1783,1804,1727,59933,124374500,20723658900,9868409,55.51282051282051,61.821086261980824,21527405,1789.4,1716.85,2333.1833333333334,21167715.65
2024-09-04,1795,4,0.24,1770,1821,1698,138759,289459546,20773000945,9868409,54.221635883905016,73.91304347826087,21666164,1784.2,1711.95,2327.7,21182960.5
2024-09-05,2333,538,29.93,1800,2333,1778,6174562,16162631965,26990098615,9868409,73.22530864197532,93.93326592517695,27840726,1897.8,1738.2,2328.4166666666665,21523447.3
2024-09-06,2618,285,12.25,2333,2998,2158,26080346,79643171010,30296015630,9868409,83.77460964019008,94.5750452079566,53921072,2064.0,1782.75,2332.4666666666667,23183073.9
2024-09-09,2409,-209,-7.98,2853,2959,2409,9943667,31926540580,27878255425,9868409,73.14148681055156,78.2538399353274,43977405,2189.2,1815.55,2338.5,24328635.35
2024-09-10,2281,-128,-5.31,2392,2648,2235,4709264,13688433000,26397994075,9868409,67.82122905027933,68.34130781499202,39268141,2287.2,1840.05,2341.8333333333335,25228032.9
2024-09-11,2269,-12,-0.56,2384,2401,2119,1950947,5148010280,26249967940,9868409,71.36978248089359,70.82644628099175,37317194,2382.0,1868.25,2343.05,26043078.95
2024-09-12,2188,-81,-3.57,2239,2371,2136,1084656,2842698610,25312469085,9868409,71.24413145539906,65.79984239558708,36232538,2353.0,1891.1,2336.866666666667,26797312.35
2024-09-13,2115,-73,-3.31,2217,2230,2102,594981,1507773465,24473654320,9868409,65.00932256059664,62.40657698056801,35637557,2252.4,1910.3,2330.6833333333334,27521796.7
2024-09-19,2090,-25,-1.21,2136,2281,2021,804048,2019944245,24177602050,9868409,62.21079691516709,61.03321033210332,34833509,2188.6,1933.65,2319.1833333333334,28217127.1
2024-09-20,2077,-13,-0.61,2124,2158,2004,496133,1210107760,24029575915,9868409,58.77914951989026,60.33724340175953,34337376,2147.8,1955.65,2307.5333333333333,28880874.85
2024-09-23,1949,-128,-6.16,2072,2072,1945,421596,986849745,22549314565,9868409,56.01307189542484,29.874213836477992,33915780,2083.8,1970.95,2290.766666666667,29515967.2
2024-09-24,1945,-4,-0.22,1953,2013,1889,422805,965022380,22499972520,9868409,55.22486772486772,0.0,33492975,2035.2,1991.1,2274.35,30142480.1
2024-09-25,1915,-30,-1.54,1945,1953,1885,352666,790055650,22154578205,9868409,54.29128738621587,0.0,33140309,1995.2,2013.65,2260.9166666666665,30772589.7
2024-09-26,1800,-115,-6.01,1574,1829,1421,3019047,5790809395,20822342990,9868409,50.27355623100304,0.0,30121262,1937.2,2022.05,2249.983333333333,31229871.25
2024-09-27,1642,-158,-8.77,1791,1791,1638,681536,1342970987,18996687325,9868409,45.74763757643135,0.0,29439726,1850.2,2018.65,2233.5,31638980.55
2024-09-30,1609,-33,-2.03,1585,1635,1513,290548,544894019,18611819374,9868409,22.024729520865534,0.0,29149178,1782.2,2008.05,2212.7,32014073.35
2024-10-02,1517,-92,-5.67,1609,1609,1448,320518,578675853,17555899611,9868409,0.0,0.0,28828660,1696.6,1995.65,2189.65,32382463.7
2024-10-04,1559,42,2.75,1518,1748,1518,987249,1870593559,18039451652,9868409,4.496788008565318,6.829268292682926,29815909,1625.4,1984.25,2160.55,32796517.9
2024-10-07,1569,10,0.66,1577,1577,1522,166420,302195497,18157872560,9868409,6.372549019607845,8.496732026143803,29982329,1579.2,1973.55,2133.616666666667,33222260.75
2024-10-08,1577,8,0.49,1577,1774,1573,1053747,2052709076,18246688241,9868409,7.389162561576356,12.195121951219505,31036076,1566.2,1962.85,2107.3,33697694.3
2024-10-10,1632,55,3.52,1591,1659,1591,232373,443940721,18888134826,9868409,14.631043256997444,21.178637200736645,31268449,1570.8,1954.7,2082.616666666667,34177808.55
2024-10-11,1686,54,3.29,1641,1719,1638,365842,721287252,19509844593,9868409,22.033898305084747,29.80599647266314,31634291,1604.6,1922.35,2064.45,34367486.8
2024-10-14,1587,-99,-5.87,1687,1701,1543,379952,708486854,18365109149,9868409,20.09512485136743,30.67150635208712,31254339,1610.2,1870.8,2042.35,33234150.15
2024-10-15,1662,75,4.73,1587,1714,1571,335400,649491848,19233529141,9868409,27.021040974529342,52.136752136752136,31589739,1628.8,1833.45,2022.4333333333334,32614766.85
2024-10-16,1677,15,0.87,1662,1696,1562,115563,224365367,19401292094,9868409,32.78481012658227,57.55555555555556,31705302,1648.8,1803.25,2002.55,32236624.9
2024-10-17,1680,3,0.2,1663,1696,1635,108194,212329422,19440765730,9868409,33.20659062103928,72.57617728531856,31813496,1658.4,1773.8,1980.3,31961440.0
2024-10-18,1706,26,1.52,1680,1736,1610,231311,455605196,19736818000,9868409,36.68789808917197,71.30434782608695,32044807,1662.4,1749.7,1961.4666666666667,31752053.45
